,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
25,2014-11-17,1183.8,1182.8,1192.8,1181.8,-0.0018,2014-11-17,170,170,346.0,89.88439306358381,0.020341320461989332,3082,89.71726680255108
26,2014-11-24,1196.2,1201.4,1203.5,1193.2,-0.0015,2014-11-24,144,144,286.0,91.6083916083916,0.010474742355127686,3226,90.20901456576313
27,2014-12-01,1218.1,1159.4,1221.0,1141.7,0.0362,2014-12-01,148,148,168.0,86.90476190476191,0.018307975254973963,3374,89.78126770944485
28,2014-12-08,1194.9,1191.2,1209.3,1187.3,0.0038,2014-12-08,153,153,248.0,89.51612903225806,-0.019046055332074374,3527,90.0503563092071
29,2014-12-15,1207.7,1222.0,1225.0,1191.3,-0.0121,2014-12-15,133,133,224.0,83.48214285714286,0.010712193488994881,3660,89.6005172826874
30,2014-12-22,1179.8,1196.0,1203.6,1170.7,-0.0135,2014-12-22,71,71,180.0,80.0,-0.02310176368303396,3731,87.95216563433576
31,2014-12-26,1195.3,1175.2,1199.1,1175.2,0.0186,2014-12-26,116,116,343.0,90.96209912536445,0.013137819969486264,3847,87.47970251307181
32,2015-03-06,1164.8,1199.6,1199.6,1167.0,-0.0267,2015-03-06,124,124,264.0,86.36363636363636,-0.025516606709612644,3971,86.97673727022217
33,2015-03-13,1152.8,1153.7,1160.0,1152.5,0.0003,2015-03-13,116,116,355.0,91.83098591549296,-0.010302197802197766,4087,87.00853645695095
34,2015-03-20,1185.0,1171.5,1186.7,1168.9,0.0133,2015-03-20,150,150,184.0,88.04347826086956,0.02793199167244964,4237,87.17121022210917
35,2015-03-27,1200.3,1203.4,1205.0,1192.5,-0.0041,2015-03-27,152,152,270.0,89.25925925925927,0.012911392405063227,4389,87.13451454025221
36,2015-04-03,1200.9,1200.9,1200.9,1200.9,0.0,2015-04-03,125,125,312.0,90.7051282051282,0.0004998750312423805,4514,88.16636958996439
